Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG2,NO,01/01/2020 00:00,3.90000,ug m-3,R
BG2,NO,01/01/2020 01:00,7.10000,ug m-3,R
BG2,NO,01/01/2020 02:00,9.50000,ug m-3,R
BG2,NO,01/01/2020 03:00,12.10000,ug m-3,R
BG2,NO,01/01/2020 04:00,14.90000,ug m-3,R
BG2,NO,01/01/2020 05:00,17.60000,ug m-3,R
BG2,NO,01/01/2020 06:00,20.10000,ug m-3,R
BG2,NO,01/01/2020 07:00,21.60000,ug m-3,R
BG2,NO,01/01/2020 08:00,23.10000,ug m-3,R
BG2,NO,01/01/2020 09:00,23.00000,ug m-3,R
BG2,NO,01/01/2020 10:00,26.10000,ug m-3,R
BG2,NO,01/01/2020 11:00,28.40000,ug m-3,R
BG2,NO,01/01/2020 12:00,27.40000,ug m-3,R
BG2,NO,01/01/2020 13:00,25.80000,ug m-3,R
BG2,NO,01/01/2020 14:00,24.40000,ug m-3,R
BG2,NO,01/01/2020 15:00,23.20000,ug m-3,R
BG2,NO,01/01/2020 16:00,21.10000,ug m-3,R
BG2,NO,01/01/2020 17:00,17.80000,ug m-3,R
BG2,NO,01/01/2020 18:00,12.40000,ug m-3,R
BG2,NO,01/01/2020 19:00,7.60000,ug m-3,R
BG2,NO,01/01/2020 20:00,5.70000,ug m-3,R
BG2,NO,01/01/2020 21:00,4.70000,ug m-3,R
BG2,NO,01/01/2020 22:00,3.40000,ug m-3,R
BG2,NO,01/01/2020 23:00,2.20000,ug m-3,R
BG2,NO,02/01/2020 00:00,1.40000,ug m-3,R
BG2,NO,02/01/2020 01:00,1.10000,ug m-3,R
BG2,NO,02/01/2020 02:00,0.90000,ug m-3,R
BG2,NO,02/01/2020 03:00,0.60000,ug m-3,R
BG2,NO,02/01/2020 04:00,0.40000,ug m-3,R
BG2,NO,02/01/2020 05:00,0.30000,ug m-3,R
BG2,NO,02/01/2020 06:00,0.40000,ug m-3,R
BG2,NO,02/01/2020 07:00,0.80000,ug m-3,R
BG2,NO,02/01/2020 08:00,1.10000,ug m-3,R
BG2,NO,02/01/2020 09:00,1.30000,ug m-3,R
BG2,NO,02/01/2020 10:00,1.40000,ug m-3,R
BG2,NO,02/01/2020 11:00,1.50000,ug m-3,R
BG2,NO,02/01/2020 12:00,1.60000,ug m-3,R
BG2,NO,02/01/2020 13:00,1.70000,ug m-3,R
BG2,NO,02/01/2020 14:00,1.70000,ug m-3,R
